bag_time_ns,bag_time_sec,header_stamp_sec,joint1_position,joint1_velocity,joint1_effort,joint2_position,joint2_velocity,joint2_effort,joint3_position,joint3_velocity,joint3_effort,joint4_position,joint4_velocity,joint4_effort,joint5_position,joint5_velocity,joint5_effort,joint6_position,joint6_velocity,joint6_effort
1785501244549300017,1785501244.5493002,1785501244.5491571,0.0,0.0,6.955415678590118e-17,-0.93549644947052,0.0,-0.6772262454032898,0.0750491544604301,0.0,-14.930364608764648,0.0,0.0,-0.1364886611700058,0.8621926307678223,0.0,-1.5899393558502195,0.0,0.0,-1.9705405065906237e-05
1785501244750166212,1785501244.7501664,1785501244.7499511,0.0,0.0,6.955415678590118e-17,-0.93549644947052,0.0,-0.6772262454032898,0.0750491544604301,0.0,-14.930364608764648,0.0,0.0,-0.1364886611700058,0.8621926307678223,0.0,-1.5899393558502195,0.0,0.0,-1.9705405065906237e-05
1785501244951017137,1785501244.9510174,1785501244.9508,0.0,0.0,6.955415678590118e-17,-0.93549644947052,0.0,-0.6772262454032898,0.0750491544604301,0.0,-14.930364608764648,0.0,0.0,-0.1364886611700058,0.8621926307678223,0.0,-1.5899393558502195,0.0,0.0,-1.9705405065906237e-05
1785501245151738531,1785501245.1517386,1785501245.1515388,0.0,0.0,6.955415678590118e-17,-0.93549644947052,0.0,-0.6772262454032898,0.0750491544604301,0.0,-14.930364608764648,0.0,0.0,-0.1364886611700058,0.8621926307678223,0.0,-1.5899393558502195,0.0,0.0,-1.9705405065906237e-05
1785501245352515553,1785501245.3525157,1785501245.3523395,0.0,0.0,6.955415678590118e-17,-0.93549644947052,0.0,-0.6772262454032898,0.0750491544604301,0.0,-14.930364608764648,0.0,0.0,-0.1364886611700058,0.8621926307678223,0.0,-1.5899393558502195,0.0,0.0,-1.9705405065906237e-05
1785501245553302183,1785501245.5533023,1785501245.5531125,0.0,0.0,6.955415678590118e-17,-0.93549644947052,0.0,-0.6772262454032898,0.0750491544604301,0.0,-14.930364608764648,0.0,0.0,-0.1364886611700058,0.8621926307678223,0.0,-1.5899393558502195,0.0,0.0,-1.9705405065906237e-05
1785501245754161024,1785501245.7541614,1785501245.753903,0.0,0.0,6.955415678590118e-17,-0.93549644947052,0.0,-0.6772262454032898,0.0750491544604301,0.0,-14.930364608764648,0.0,0.0,-0.1364886611700058,0.8621926307678223,0.0,-1.5899393558502195,0.0,0.0,-1.9705405065906237e-05
1785501245954824396,1785501245.9548244,1785501245.9546351,0.0,0.0,-0.0009597295429557,-0.9079542756080629,0.2498544454574585,-1.6209595203399658,0.0603857859969139,-0.1330218613147735,-17.1361141204834,0.0,0.0,-0.1349117159843444,0.8237050175666809,-0.3491486608982086,-1.6589051485061646,0.0,0.0,0.0002732762659434
1785501246155495413,1785501246.1554956,1785501246.1552937,0.0,0.0,-0.0009032183443196,-0.85698401927948,0.2498544454574585,-3.1509594917297363,0.0332493260502815,-0.1330218613147735,-16.891313552856445,0.0,0.0,-0.1320851892232895,0.7524786591529846,-0.3491486608982086,-1.506317973136902,0.0,0.0,0.0007958407513797
1785501246356208251,1785501246.3562083,1785501246.3560262,0.0,0.0,-0.0008444479317404,-0.8070130944252014,0.2498544454574585,-3.9771595001220703,0.0066449530422687,-0.1330218613147735,-16.340513229370117,0.0,0.0,-0.1291864961385727,0.6826489567756653,-0.3491486608982086,-1.5741344690322876,0.0,0.0,0.001316605717875
1785501246556955926,1785501246.556956,1785501246.5567515,0.0,0.0,-0.0007835637661628,-0.7570422291755676,0.2498544454574585,-4.895159721374512,-0.019959419965744,-0.1330218613147735,-15.422513961791992,0.0,0.0,-0.1262172162532806,0.612819254398346,-0.3491486608982086,-1.6249969005584717,0.0,0.0,0.0018344585550948
1785501246757625100,1785501246.757625,1785501246.7575078,0.0,0.0,-0.0007207166054286,-0.7070713043212891,0.2498544454574585,-5.690759658813477,-0.0465637929737567,-0.1330218613147735,-15.08591365814209,0.0,0.0,-0.1231789588928222,0.5429894924163818,-0.3491486608982086,-1.794538140296936,0.0,0.0,0.0023482937831431
1785501246958441779,1785501246.9584415,1785501246.9582562,0.0,0.0,-0.0006560620386153,-0.6571004390716553,0.2498544454574585,-6.409859657287598,-0.0731681659817695,-0.1330218613147735,-15.300113677978516,0.0,0.0,-0.12007337808609,0.4731597602367401,-0.3491486608982086,-1.7775839567184448,0.0,0.0,0.0028570150025188
1785501247159223902,1785501247.159224,1785501247.1590235,0.0,0.0,-0.0005884186248295,-0.6061301231384277,0.2498544454574585,-7.434959411621094,-0.1003046259284019,-0.1330218613147735,-14.978814125061035,0.0,0.0,-0.1168380677700042,0.4019334316253662,-0.3491486608982086,-2.014941692352295,0.0,0.0,0.0033695169258862
1785501247359952762,1785501247.3599527,1785501247.3597462,0.0,0.0,-0.000520606059581,-0.556159257888794,0.2498544454574585,-8.383559226989746,-0.126909002661705,-0.1330218613147735,-15.131814002990724,0.0,0.0,-0.1136016622185707,0.3321036994457245,-0.3491486608982086,-1.981033444404602,0.0,0.0,0.003864612430334
1785501247560677934,1785501247.560678,1785501247.5605118,0.0,0.0,-0.0004514820757322,-0.5061883330345154,0.2498544454574585,-8.6283597946167,-0.1535133719444275,-0.1330218613147735,-14.79521369934082,0.0,0.0,-0.1103031262755394,0.2622739970684051,-0.3491486608982086,-1.9471251964569087,0.0,0.0,0.0043513607233762
1785501247761805397,1785501247.7618055,1785501247.7615488,0.0,0.0,-0.0003812180948443,-0.4562174677848816,0.2498544454574585,-10.219559669494627,-0.1801177412271499,-0.1330218613147735,-15.346014022827148,0.0,0.0,-0.1069442555308342,0.1924442499876022,-0.3491486608982086,-1.9640793800354004,0.0,0.0,0.0048287250101566
1785501247962531491,1785501247.9625318,1785501247.962341,0.0,0.0,-0.0003099884197581,-0.4062465727329254,0.2498544454574585,-10.54085922241211,-0.2067221105098724,-0.1330218613147735,-14.67281436920166,0.0,0.0,-0.1035268753767013,0.1226145252585411,-0.3491486608982086,-2.20143723487854,0.0,0.0,0.0052956878207623
1785501248163303725,1785501248.163304,1785501248.1631172,0.0,0.0,-0.0002365226246183,-0.3552762567996979,0.2498544454574585,-11.795459747314451,-0.2338585704565048,-0.1330218613147735,-14.366813659667969,0.0,0.0,-0.0999828055500984,0.0513882003724575,-0.3491486608982086,-2.5066113471984863,0.0,0.0,0.0057602431625127
1785501248364053306,1785501248.3640532,1785501248.3638914,0.0,0.0,-0.0001638834510231,-0.3053053915500641,0.2498544454574585,-12.46865940093994,-0.2604629397392273,-0.1330218613147735,-13.98431396484375,0.0,0.0,-0.0964529365301132,-0.0184415280818939,-0.3491486608982086,-2.065804004669189,0.0,0.0,0.0062031857669353
1785501248564871108,1785501248.5648713,1785501248.564643,0.0,0.0,-9.081798634724692e-05,-0.2553344964981079,0.2498544454574585,-13.401959419250488,-0.2870673239231109,-0.1330218613147735,-13.877214431762695,0.0,0.0,-0.0928702726960182,-0.0882712602615356,-0.3491486608982086,-2.3201160430908203,0.0,0.0,0.0066327983513474
1785501248765609016,1785501248.765609,1785501248.7653291,0.0,0.0,-1.750766023178585e-05,-0.2053636014461517,0.2498544454574585,-14.075159072875977,-0.3136717081069946,-0.1330218613147735,-13.75481414794922,0.0,0.0,-0.0892367586493492,-0.1581009924411773,-0.3491486608982086,-2.116666555404663,0.0,0.0,0.0070481649599969
1785501248966347084,1785501248.9663472,1785501248.966128,0.0,0.0,5.586546467384324e-05,-0.1553927063941955,0.2498544454574585,-14.35055923461914,-0.3402760624885559,-0.1330218613147735,-12.959214210510254,0.0,0.0,-0.0855543762445449,-0.2279307097196579,-0.3491486608982086,-2.574427843093872,0.0,0.0,0.0074483999051153
1785501249167160678,1785501249.1671607,1785501249.1668992,0.0,0.0,0.000130581727717,-0.1054218187928199,0.2498544454574585,-15.52865982055664,-0.3668804466724396,-0.1330218613147735,-13.295814514160156,0.0,0.0,-0.0817500799894332,-0.2977604568004608,-0.3491486608982086,-2.1675288677215576,0.0,0.0,0.0078401649370789
1785501249367931110,1785501249.3679314,1785501249.367678,0.0,0.0,0.0002035260695265,-0.0544515140354633,0.2498544454574585,-16.33955955505371,-0.3940168917179107,-0.1330218613147735,-12.806214332580566,0.0,0.0,-0.0779751315712928,-0.3689867556095123,-0.3491486608982086,-2.235345363616944,0.0,0.0,0.0082072634249925
1785501249568673667,1785501249.5686738,1785501249.5684528,0.0,0.0,0.0002759840863291,-0.00448062364012,0.2498544454574585,-16.660860061645508,-0.4206212759017944,-0.1330218613147735,-12.65321445465088,0.0,0.0,-0.0741574466228485,-0.438816487789154,-0.3491486608982086,-2.3201160430908203,0.0,0.0,0.008556755259633
1785501249769438768,1785501249.7694387,1785501249.7692122,0.0,0.0,0.0003477756690699,0.0454902648925781,0.2498544454574585,-18.28265953063965,-0.4472256302833557,-0.1330218613147735,-12.224814414978027,0.0,0.0,-0.0702991187572479,-0.5086462497711182,-0.3491486608982086,-2.6252901554107666,0.0,0.0,0.008887892588973
1785501249970172508,1785501249.9701726,1785501249.9699748,0.0,0.0,0.0004187224258203,0.0954611524939537,0.2498544454574585,-18.665159225463867,-0.4738300144672394,-0.1330218613147735,-12.010614395141602,0.0,0.0,-0.0664022564888,-0.5784759521484375,-0.3491486608982086,-2.286207675933838,0.0,0.0,0.0091999657452106
1785501250170945394,1785501250.1709454,1785501250.1707222,0.0,0.0,0.0004900348722003,0.1454320400953292,0.2498544454574585,-19.50666046142578,-0.500434398651123,-0.1330218613147735,-12.071813583374023,0.0,0.0,-0.0623899549245834,-0.6483057141304016,-0.3491486608982086,-2.354024171829224,0.0,0.0,0.0094979479908943
1785501250371756023,1785501250.371756,1785501250.3715093,0.0,0.0,0.0005587397026829,0.1964023560285568,0.2498544454574585,-19.99625968933105,-0.5275708436965942,-0.1330218613147735,-11.199713706970217,0.0,0.0,-0.05842175334692,-0.7195320129394531,-0.3491486608982086,-2.20143723487854,0.0,0.0,0.0097695151343941
1785501250572432593,1785501250.5724328,1785501250.5722744,0.0,0.0,0.0006260751397348,0.2463732361793518,0.2498544454574585,-20.807159423828125,-0.5541751980781555,-0.1330218613147735,-10.587714195251465,0.0,0.0,-0.0544214993715286,-0.7893617153167725,-0.3491486608982086,-2.4387948513031006,0.0,0.0,0.0100201247259974
