window_id,start_time_sec,end_time_sec,center_time_sec,mean_position,range_position,energy,energy_label
47,0.234911497,0.253925014,0.24440238230000003,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
48,0.239885792,0.25888909,0.24940458054999998,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
49,0.244914128,0.263890245,0.2544059357,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
50,0.249901918,0.268926516,0.25940325875000003,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
51,0.254909796,0.273883338,0.2644019283,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
52,0.259927823,0.278894131,0.26940022219999993,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
53,0.26489773,0.283888684,0.27439728220000004,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
54,0.269922049,0.288886423,0.27939836670000007,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
55,0.274917914,0.293889532,0.28440231374999997,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
56,0.27989326,0.29889742,0.2894007719,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
57,0.284905266,0.303915738,0.29440232099999997,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
58,0.289885352,0.308882117,0.29940124765,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
59,0.294887158,0.313884114,0.3043959672,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
