window_id,joint,start_time_sec,end_time_sec,center_time_sec,mean_pos,min_pos,max_pos,range_pos,pla_mean_slope,pla_max_slope,pla_min_slope,pla_mse,pla_max_error,pla_slopes,pla_intercepts,energy,direction_label,motion_label,pla_shape_label,pla_fit_label,energy_label
2279,joint2,11.398907449,11.417892122,11.408397677750003,0.5759586497653923,0.5759586082705113,0.5759587030104498,9.473993856090601e-08,4.004471019200177e-06,1.1002021023351822e-05,-2.8620399942713562e-06,9.918250040826282e-18,5.0788063754581e-09,-0.000002;0.000010;-0.000003;0.000011,0.575982;0.575846;0.575991;0.575833,1.527913623332528e-14,stationary,small_motion,constant,good_fit,medium_energy
2280,joint2,11.403899778,11.422893228,11.41339617605,0.575958666917016,0.5759586253382762,0.5759587030104498,7.767217358178868e-08,2.080122478788493e-06,1.1002021023351822e-05,-9.724998891632661e-06,6.0635752109349385e-18,4.070149439705517e-09,0.000010;-0.000003;0.000011;-0.000010,0.575846;0.575991;0.575833;0.576070,8.68838611213007e-15,stationary,small_motion,constant,good_fit,medium_energy
2281,joint2,11.408897397,11.427909592,11.41839717065,0.5759586718522762,0.5759586476816665,0.5759587030104498,5.532878333269764e-08,5.659001487923657e-07,1.1002021023351822e-05,-9.724998891632661e-06,3.816299331388167e-18,3.6811313997020534e-09,-0.000003;0.000011;-0.000010;0.000004,0.575991;0.575833;0.576070;0.575915,5.582454871843469e-15,stationary,small_motion,constant,good_fit,medium_energy
2282,joint2,11.413890016,11.432894256,11.423398794450002,0.5759586718392071,0.5759586301566522,0.5759587030104498,7.285379766130973e-08,-1.4689801517973961e-06,1.1002021023351822e-05,-1.1001561196630404e-05,2.4569507678707994e-18,3.4245275504218853e-09,0.000011;-0.000010;0.000004;-0.000011,0.575833;0.576070;0.575915;0.576084,6.679874149693441e-15,stationary,small_motion,constant,good_fit,medium_energy
2283,joint2,11.418892393,11.437896654,11.428399344199999,0.5759586557769409,0.5759586170311941,0.5759587008661864,8.383499228159508e-08,-3.954836855308045e-06,3.848618457721659e-06,-1.1001561196630404e-05,2.662651841749928e-18,3.3849627545379235e-09,-0.000010;0.000004;-0.000011;0.000001,0.576070;0.575915;0.576084;0.575947,1.2847987963633469e-14,stationary,small_motion,constant,good_fit,medium_energy
2284,joint2,11.423898238,11.442904001,11.433399883949999,0.5759586432956283,0.5759586170311941,0.5759586751774339,5.8146239823031465e-08,-1.6129307229480295e-06,3.848618457721659e-06,-1.1001561196630404e-05,3.445171976314508e-18,3.3849627545379235e-09,0.000004;-0.000011;0.000001;-0.000000,0.575915;0.576084;0.575947;0.575963,8.258521925670927e-15,stationary,small_motion,constant,good_fit,medium_energy
2285,joint2,11.428916616,11.447901068,11.43839938965,0.5759586325700913,0.5759586170311941,0.5759586729424777,5.591128360293851e-08,-2.1065904131102398e-06,1.8739796970728174e-06,-1.1001561196630404e-05,5.456567971779433e-18,3.606433929270736e-09,-0.000011;0.000001;-0.000000;0.000002,0.576084;0.575947;0.575963;0.575937,4.5061428504080965e-15,stationary,small_motion,constant,good_fit,medium_energy
2286,joint2,11.433895088,11.452893888,11.443401130050002,0.5759586353395202,0.5759586170311941,0.5759586801527616,6.312156752841247e-08,3.02779887013683e-06,9.535995936357875e-06,-3.5737436219259896e-07,6.136952908208644e-18,3.606433929270736e-09,0.000001;-0.000000;0.000002;0.000010,0.575947;0.575963;0.575937;0.575849,6.955494734939606e-15,stationary,small_motion,constant,good_fit,medium_energy
2287,joint2,11.438899379,11.457893901,11.448401323100002,0.5759586482348151,0.5759586214873806,0.5759586801527616,5.866538099752461e-08,1.8103149315688117e-06,9.535995936357875e-06,-3.8113415449628475e-06,4.662675014912786e-18,3.606433929270736e-09,-0.000000;0.000002;0.000010;-0.000004,0.575963;0.575937;0.575849;0.576002,9.240401474253035e-15,stationary,small_motion,constant,good_fit,medium_energy
2288,joint2,11.443895615,11.46289139,11.453401067350002,0.5759586616555645,0.5759586214873806,0.5759587001358408,7.864846018890148e-08,3.910862449056261e-06,9.535995936357875e-06,-3.8113415449628475e-06,3.972007488264881e-18,3.606433929270736e-09,0.000002;0.000010;-0.000004;0.000008,0.575937;0.575849;0.576002;0.575866,1.1912091253036137e-14,stationary,small_motion,constant,good_fit,medium_energy
